id,party_id,name,codename,faction,danger,data,is_global,created_by,created_at,updated_at,foto_url
01db422a-8414-4ac3-a1ce-582110f9e503,,Steven Lang,Steven Lang,vilao,medio,"{""tags"":[{""texto"":""Coronel do Exército""},{""texto"":""Fanático""},{""texto"":""Líder do Projeto Fênix""},{""texto"":""Mente Transferida para Corpo Sentinel""},{""texto"":""Determinação Inabalável""},{""texto"":""Obsessão com Jean Grey""},{""texto"":""Dificuldade de Confiar nos Outros""},{""texto"":""Reflexos Aguçados""},{""texto"":""Tática e Estratégia""},{""texto"":""Treinamento de Combate""},{""texto"":""Culpa e Arrependimento""},{""texto"":""Limitações Humanas""},{""texto"":""Instinto de Sobrevivência""},{""texto"":""Resiliência Física e Mental""},{""texto"":""Perícia em Campo""},{""texto"":""Fama que Atrapalha""},{""texto"":""Responsabilidade que Pesa""},{""texto"":""Conhecido no Submundo Mutante""},{""texto"":""Mutante Experiente""}],""stats"":{""aura"":5,""corpo"":5,""mente"":6,""força"":5,""vontade"":7,""destreza"":5,""espírito"":5,""influência"":6,""inteligência"":7},""temas"":[{""nome"":""Cientista Anti-Mutante"",""poder"":[{""texto"":""Coronel do Exército""}],""fraqueza"":[{""texto"":""Fanático""}]},{""nome"":""2"",""poder"":[{""texto"":""Líder do Projeto Fênix""},{""texto"":""Mente Transferida para Corpo Sentinel""},{""texto"":""Determinação Inabalável""}],""fraqueza"":[{""texto"":""Obsessão com Jean Grey""},{""texto"":""Dificuldade de Confiar nos Outros""}]},{""nome"":""3"",""poder"":[{""texto"":""Reflexos Aguçados""},{""texto"":""Tática e Estratégia""},{""texto"":""Treinamento de Combate""}],""fraqueza"":[{""texto"":""Culpa e Arrependimento""},{""texto"":""Limitações Humanas""}]},{""nome"":""4"",""poder"":[{""texto"":""Instinto de Sobrevivência""},{""texto"":""Resiliência Física e Mental""},{""texto"":""Perícia em Campo""}],""fraqueza"":[{""texto"":""Fama que Atrapalha""},{""texto"":""Responsabilidade que Pesa""}]}],""descricao"":""Atributos no teto humano. A transferência de mente para corpo Sentinel (grau 4) torna-o ameaça física inesperada. A obsessão com Jean Grey (-2) é vulnerabilidade tátic — pode ser manipulado através dela. Coronel americano que liderou o Projeto Fênix para capturar Jean.\n---"",""iniciativa"":0}",true,,2026-04-09 01:20:42.164471+00,2026-07-13 16:50:57.438563+00,https://static.wikia.nocookie.net/marveldatabase/images/4/4c/Steven_Lang_%28Earth-89121%29_from_What_If...%3F_Vol_1_7_0001.jpg/revision/latest/scale-to-width-down/600?cb=20180706021602
023dc132-8767-46e9-ac03-ede951c8e656,,Estrela Polar,Jean‑Paul Beaubier,x-men,alto,"{""tags"":[{""grau"":5,""texto"":""Velocidade Supersónica""},{""grau"":4,""texto"":""Voo e Reflexos Sobre‑Humanos""},{""grau"":3,""texto"":""Gêmeo de Aurora""},{""grau"":3,""texto"":""Ex‑membro da Alfa Flight""},{""grau"":2,""texto"":""Orgulho Francês‑Canadense""}],""stats"":{""aura"":8,""corpo"":6,""mente"":7,""força"":5,""vontade"":8,""destreza"":10,""espírito"":8,""influência"":7,""inteligência"":7},""temas"":[{""nome"":""Velocista Supersónico"",""poder"":[{""grau"":5,""texto"":""Velocidade Supersónica""},{""grau"":4,""texto"":""Voo e Reflexos Sobre‑Humanos""}],""fraqueza"":[]},{""nome"":""Herança da Alfa Flight"",""poder"":[{""grau"":3,""texto"":""Gêmeo de Aurora""},{""grau"":3,""texto"":""Ex‑membro da Alfa Flight""}],""fraqueza"":[{""grau"":2,""texto"":""Orgulho Francês‑Canadense""}]}],""descricao"":""Jean‑Paul Beaubier, o Estrela Polar, é um dos mutantes mais rápidos do mundo – capaz de alcançar velocidades supersónicas em fracções de segundo. Antigo membro da Alfa Flight, trouxe a sua disciplina e orgulho para os X‑Men, onde co‑orienta o Esquadrão Alfa ao lado de Karma. A sua personalidade directa e por vezes arrogante esconde uma lealdade inabalável aos seus alunos."",""iniciativa"":30}",true,,2026-07-12 18:05:40.319941+00,2026-07-12 18:05:40.319941+00,
0278b1ab-844a-4a8e-bbe4-d0c3c4213e47,,Kestrel,John Wraith,vilao,medio,"{""tags"":[{""texto"":""Teletransporte de Curta Distância""},{""texto"":""Treinamento de Combate de Elite""},{""texto"":""Código de Honra Próprio""},{""texto"":""Tática e Estratégia""},{""texto"":""Treinamento de Combate""},{""texto"":""Culpa e Arrependimento""},{""texto"":""Limitações Humanas""},{""texto"":""Instinto de Sobrevivência""},{""texto"":""Resiliência Física e Mental""},{""texto"":""Perícia em Campo""},{""texto"":""Fama que Atrapalha""},{""texto"":""Responsabilidade que Pesa""},{""texto"":""Conhecido no Submundo Mutante""},{""texto"":""Mutante Experiente""},{""texto"":""Habilidade de Luta""}],""stats"":{""aura"":6,""corpo"":6,""mente"":6,""força"":5,""vontade"":7,""destreza"":8,""espírito"":6,""influência"":6,""inteligência"":6},""temas"":[{""nome"":""Voo"",""poder"":[{""texto"":""Teletransporte de Curta Distância""}],""fraqueza"":[]},{""nome"":""Agente Governamental"",""poder"":[{""texto"":""Treinamento de Combate de Elite""}],""fraqueza"":[]},{""nome"":""3"",""poder"":[{""texto"":""Código de Honra Próprio""},{""texto"":""Tática e Estratégia""},{""texto"":""Treinamento de Combate""}],""fraqueza"":[{""texto"":""Culpa e Arrependimento""},{""texto"":""Limitações Humanas""}]},{""nome"":""4"",""poder"":[{""texto"":""Instinto de Sobrevivência""},{""texto"":""Resiliência Física e Mental""},{""texto"":""Perícia em Campo""}],""fraqueza"":[{""texto"":""Fama que Atrapalha""},{""texto"":""Responsabilidade que Pesa""}]}],""descricao"":""DEX 8 e STR/BOD no pico humano — combatente de elite. O teletransporte grau 3 é de curta distância — tático, não estratégico. O treinamento grau 4 reflete décadas no Programa Arma X. O código de honra (grau 2) distingue Kestrel de simples mercenário. Africano-americano que trabalhou com Wolverine.\n---"",""iniciativa"":0}",true,,2026-04-09 01:20:42.164471+00,2026-07-13 16:50:57.438563+00,https://static.wikia.nocookie.net/marveldatabase/images/c/c5/Sybil_Tan_%28Zombie%29_%28Earth-78149%29_from_Marvel_Strike_Force_001.jpg/revision/latest/scale-to-width-down/600?cb=20251116221349
0370274b-1955-460f-8a34-1bc2947d9b4a,,Mister Sinister,Nathaniel Essex,vilao,extremo,"{""tags"":[{""texto"":""Gênio de Genética Mutante""},{""texto"":""Imortalidade e Regeneração""},{""texto"":""Clonagem e Manipulação Genética""},{""texto"":""Poderes Psiônicos e Telepatia Limitada""},{""texto"":""Obsessão com Linhagem Summers/Grey""},{""texto"":""Cópias Degeneram Geneticamente""},{""texto"":""Obsessão Científica Cega à Ética""},{""texto"":""Obsessão pela Linhagem Summers""},{""texto"":""Narcisismo e Dramalhão""},{""texto"":""Instinto de Sobrevivência""},{""texto"":""Resiliência Física e Mental""},{""texto"":""Perícia em Campo""},{""texto"":""Fama que Atrapalha""},{""texto"":""Responsabilidade que Pesa""},{""texto"":""Habilidade de Luta""},{""texto"":""Determinação Inabalável""},{""texto"":""Reflexos Aguçados""},{""texto"":""Passado que Assombra""},{""texto"":""Conflitos Internos""},{""texto"":""Manipulador Genético""},{""texto"":""Clonagem""},{""texto"":""Marotos""},{""texto"":""Obsessão Summers""},{""texto"":""Conhecido no Submundo Mutante""},{""texto"":""Mutante de Niveau Ômega ou Equivalente""},{""texto"":""Décadas de Experiência de Combate""},{""texto"":""Mestre Tático""},{""texto"":""Vontade Indomável""},{""texto"":""Rede de Contatos e Aliados""},{""texto"":""Ameaça Nível Global""}],""stats"":{""aura"":9,""corpo"":8,""mente"":11,""força"":8,""vontade"":12,""destreza"":6,""espírito"":10,""influência"":8,""inteligência"":15},""temas"":[{""nome"":""Geneticista Vitoriano"",""poder"":[{""texto"":""Gênio de Genética Mutante""},{""texto"":""Imortalidade e Regeneração""}],""fraqueza"":[]},{""nome"":""Clonagem Sem Limites"",""poder"":[{""texto"":""Clonagem e Manipulação Genética""},{""texto"":""Poderes Psiônicos e Telepatia Limitada""},{""texto"":""Obsessão com Linhagem Summers/Grey""}],""fraqueza"":[{""texto"":""Cópias Degeneram Geneticamente""}]},{""nome"":""Obsessão Summers-Grey"",""poder"":[{""texto"":""Obsessão Científica Cega à Ética""}],""fraqueza"":[{""texto"":""Obsessão pela Linhagem Summers""},{""texto"":""Narcisismo e Dramalhão""}]},{""nome"":""4"",""poder"":[{""texto"":""Instinto de Sobrevivência""},{""texto"":""Resiliência Física e Mental""},{""texto"":""Perícia em Campo""}],""fraqueza"":[{""texto"":""Fama que Atrapalha""},{""texto"":""Responsabilidade que Pesa""}]},{""nome"":""5"",""poder"":[{""texto"":""Habilidade de Luta""},{""texto"":""Determinação Inabalável""},{""texto"":""Reflexos Aguçados""}],""fraqueza"":[{""texto"":""Passado que Assombra""},{""texto"":""Conflitos Internos""}]}],""descricao"":""INT 15 — maior geneticista do planeta por margem enorme. VON 12 no limite humano. STR 8 e BOD 8 sobrehumanos por modificação de Apocalipse. O grau 6 em genética representa conhecimento que transcende séculos. A obsessão científica (-3) é o calcanhar de Aquiles: pode ser manipulado colocando descobertas científicas à frente de prudência.\n---"",""iniciativa"":0}",true,,2026-04-09 01:20:42.164471+00,2026-07-13 16:50:57.438563+00,https://static.wikia.nocookie.net/marveldatabase/images/9/91/Nathaniel_Essex_%28Original%29_%28Earth-616%29_from_Immortal_X-Men_Vol_1_8_001.jpg/revision/latest/scale-to-width-down/600?cb=20240124210148
03fa6148-f445-41fa-a3fc-92f058f39c41,,Dazzler,Alison Blaire,x-men,medio,"{""tags"":[{""texto"":""Transdução de Som em Luz""},{""texto"":""Laser de Luz Concentrado""},{""texto"":""Força Sonora como Disco de Ataque""},{""texto"":""Precisa de Fonte Sonora""},{""texto"":""Cantora e Performer""},{""texto"":""Reflexos Aguçados""},{""texto"":""Tática e Estratégia""},{""texto"":""Treinamento de Combate""},{""texto"":""Precisa de Fonte Sonora para o poder máximo""},{""texto"":""Limitações Humanas""},{""texto"":""Instinto de Sobrevivência""},{""texto"":""Resiliência Física e Mental""},{""texto"":""Perícia em Campo""},{""texto"":""Fama que Atrapalha""},{""texto"":""Responsabilidade que Pesa""},{""texto"":""Força Sonora como Disco""},{""texto"":""Membro dos X-Men""},{""texto"":""Mutante Experiente""}],""stats"":{""aura"":10,""corpo"":5,""mente"":7,""força"":4,""vontade"":7,""destreza"":7,""espírito"":8,""influência"":9,""inteligência"":6},""temas"":[{""nome"":""Luz e Som"",""poder"":[{""texto"":""Transdução de Som em Luz""},{""texto"":""Laser de Luz Concentrado""},{""texto"":""Força Sonora como Disco de Ataque""}],""fraqueza"":[{""texto"":""Precisa de Fonte Sonora""}]},{""nome"":""Estrela do Pop"",""poder"":[{""texto"":""Cantora e Performer""}],""fraqueza"":[]},{""nome"":""3"",""poder"":[{""texto"":""Reflexos Aguçados""},{""texto"":""Tática e Estratégia""},{""texto"":""Treinamento de Combate""}],""fraqueza"":[{""texto"":""Precisa de Fonte Sonora para o poder máximo""},{""texto"":""Limitações Humanas""}]},{""nome"":""4"",""poder"":[{""texto"":""Instinto de Sobrevivência""},{""texto"":""Resiliência Física e Mental""},{""texto"":""Perícia em Campo""}],""fraqueza"":[{""texto"":""Fama que Atrapalha""},{""texto"":""Responsabilidade que Pesa""}]}],""descricao"":""AUR 10 e INF 9 — carisma de estrela pop que se converte em arma. A transdução grau 4 aumenta com o volume ambiente — em show lotado ela é devastadoramente mais poderosa. A dependência de som (-2) é limitação tática real. Ex-disco queen que tentou manter vida normal. Usa patins no combate.\n---"",""iniciativa"":0}",true,,2026-04-09 01:20:42.164471+00,2026-07-13 16:50:57.438563+00,https://static.wikia.nocookie.net/marveldatabase/images/e/e0/Alison_Blaire_%28Earth-65%29_from_Spider-Gwen_Smash_Vol_1_2_Cover.jpg/revision/latest/scale-to-width-down/600?cb=20231213172532
051f5a75-5fbd-426e-842e-ef17976dd2eb,,Mira (Pinpoint),Pinpoint,x-men,medio,"{""tags"":[{""grau"":5,""texto"":""Localiza Assinaturas Energéticas""},{""grau"":4,""texto"":""Identifica Pontos Fracos""},{""grau"":3,""texto"":""Nunca se Perde (literalmente)""},{""grau"":3,""texto"":""Percepção Tática Aguçada""},{""grau"":4,""texto"":""Raciocínio Analítico e Frio""},{""grau"":3,""texto"":""Memória Espacial Perfeita""},{""grau"":3,""texto"":""Estrategista de Reconhecimento""},{""grau"":2,""texto"":""Indispensável em Missões""},{""grau"":2,""texto"":""Aluna do Instituto Xavier""},{""grau"":3,""texto"":""Arrogância pela Precisão""},{""grau"":2,""texto"":""Impaciência com os Menos Exatos""},{""grau"":2,""texto"":""Frágil em Combate Corpo a Corpo""},{""grau"":2,""texto"":""Inexperiente sob Fogo""}],""stats"":{""aura"":6,""corpo"":4,""mente"":8,""força"":3,""vontade"":7,""destreza"":8,""espírito"":6,""influência"":5,""inteligência"":9},""temas"":[{""nome"":""Precisão Absoluta"",""poder"":[{""grau"":5,""texto"":""Localiza Assinaturas Energéticas""},{""grau"":4,""texto"":""Identifica Pontos Fracos""},{""grau"":3,""texto"":""Nunca se Perde (literalmente)""},{""grau"":3,""texto"":""Percepção Tática Aguçada""}],""fraqueza"":[]},{""nome"":""Mente Metódica"",""poder"":[{""grau"":4,""texto"":""Raciocínio Analítico e Frio""},{""grau"":3,""texto"":""Memória Espacial Perfeita""},{""grau"":3,""texto"":""Estrategista de Reconhecimento""}],""fraqueza"":[]},{""nome"":""Valor de Batedora"",""poder"":[{""grau"":2,""texto"":""Indispensável em Missões""},{""grau"":2,""texto"":""Aluna do Instituto Xavier""}],""fraqueza"":[]},{""nome"":""Excesso de Confiança"",""poder"":[],""fraqueza"":[{""grau"":3,""texto"":""Arrogância pela Precisão""},{""grau"":2,""texto"":""Impaciência com os Menos Exatos""},{""grau"":2,""texto"":""Frágil em Combate Corpo a Corpo""},{""grau"":2,""texto"":""Inexperiente sob Fogo""}]}],""descricao"":""Mira possui um sentido de localização que vai além do geográfico – detecta assinaturas energéticas, pontos de tensão e vulnerabilidades em estruturas e pessoas. Extremamente focada, nunca erra um alvo. A sua precisão beira a arrogância, mas é inegavelmente valiosa em qualquer missão de reconhecimento."",""iniciativa"":24}",true,,2026-07-12 18:05:40.319941+00,2026-07-12 19:52:11.358358+00,
0726a7ac-7fd0-4d98-81a9-8e521442fa55,,Jubileu,Jubilation Lee,x-men,medio,"{""tags"":[{""texto"":""Plasmóides Pirocinéticos""},{""texto"":""Potencial Ômega Latente""},{""texto"":""Fama que Atrapalha""},{""texto"":""Protegida de Wolverine""},{""texto"":""Vampira (após M-Day)""},{""texto"":""Potencial Ômega Bloqueado""},{""texto"":""Instinto de Sobrevivência""},{""texto"":""Resiliência Física e Mental""},{""texto"":""Perícia em Campo""},{""texto"":""Potencial Ômega bloqueado por autoestima""},{""texto"":""Responsabilidade que Pesa""},{""texto"":""Vampira pós M-Day""},{""texto"":""Membro dos X-Men""},{""texto"":""Mutante Experiente""},{""texto"":""Treinamento de Combate""}],""stats"":{""aura"":8,""corpo"":4,""mente"":7,""força"":3,""vontade"":7,""destreza"":7,""espírito"":7,""influência"":7,""inteligência"":6},""temas"":[{""nome"":""Plasmóides"",""poder"":[{""texto"":""Plasmóides Pirocinéticos""},{""texto"":""Potencial Ômega Latente""}],""fraqueza"":[{""texto"":""Fama que Atrapalha""}]},{""nome"":""Filha de Wolverine"",""poder"":[{""texto"":""Protegida de Wolverine""}],""fraqueza"":[]},{""nome"":""Geração Perdida"",""poder"":[{""texto"":""Vampira (após M-Day)""}],""fraqueza"":[{""texto"":""Potencial Ômega Bloqueado""}]},{""nome"":""4"",""poder"":[{""texto"":""Instinto de Sobrevivência""},{""texto"":""Resiliência Física e Mental""},{""texto"":""Perícia em Campo""}],""fraqueza"":[{""texto"":""Potencial Ômega bloqueado por autoestima""},{""texto"":""Responsabilidade que Pesa""}]}],""descricao"":""Os fogos de artifício de plasma (grau 3) são o que ela usa normalmente — mas o potencial Ômega latente (grau 5) raramente aparece. A tag negativa -2 explica o gap. BOD 4 — fisicamente frágil sem os poderes. Após M-Day tornou-se vampira com poderes distintos. Mãe adotiva de Shogo.\n---"",""iniciativa"":0}",true,,2026-04-09 01:20:42.164471+00,2026-07-13 16:50:57.438563+00,https://static.wikia.nocookie.net/marveldatabase/images/1/1d/Jubilation_Lee_%28Earth-161%29_from_X-Men_Forever_Annual_Vol_1_1_001.jpg/revision/latest/scale-to-width-down/600?cb=20100427025728
0755d9a7-45d2-4133-9ea7-3b8cc3323ca2,,Dríade,Dryad,x-men,medio,"{""tags"":[{""grau"":5,""texto"":""Comunhão e Manipulação da Flora""},{""grau"":4,""texto"":""Fala com as Plantas""},{""grau"":3,""texto"":""Cresce Vegetação Instantânea""},{""grau"":3,""texto"":""Enredamento por Raízes e Cipós""},{""grau"":3,""texto"":""Serenidade de Floresta Antiga""},{""grau"":3,""texto"":""Ligação Espiritual com a Natureza""},{""grau"":2,""texto"":""Cuidado com os Vulneráveis""},{""grau"":2,""texto"":""Aluna do Instituto Xavier""},{""grau"":3,""texto"":""Teimosa e Imóvel quando Provocada""},{""grau"":2,""texto"":""Torna-se Espinhosa sob Estresse""},{""grau"":2,""texto"":""Depende de Ambiente com Vida""},{""grau"":2,""texto"":""Novata em Combate""}],""stats"":{""aura"":8,""corpo"":6,""mente"":7,""força"":5,""vontade"":8,""destreza"":6,""espírito"":9,""influência"":7,""inteligência"":7},""temas"":[{""nome"":""Voz da Floresta"",""poder"":[{""grau"":5,""texto"":""Comunhão e Manipulação da Flora""},{""grau"":4,""texto"":""Fala com as Plantas""},{""grau"":3,""texto"":""Cresce Vegetação Instantânea""},{""grau"":3,""texto"":""Enredamento por Raízes e Cipós""}],""fraqueza"":[]},{""nome"":""Raiz Profunda"",""poder"":[{""grau"":3,""texto"":""Serenidade de Floresta Antiga""},{""grau"":3,""texto"":""Ligação Espiritual com a Natureza""}],""fraqueza"":[]},{""nome"":""Guardiã Verde"",""poder"":[{""grau"":2,""texto"":""Cuidado com os Vulneráveis""},{""grau"":2,""texto"":""Aluna do Instituto Xavier""}],""fraqueza"":[]},{""nome"":""Teimosia de Carvalho"",""poder"":[],""fraqueza"":[{""grau"":3,""texto"":""Teimosa e Imóvel quando Provocada""},{""grau"":2,""texto"":""Torna-se Espinhosa sob Estresse""},{""grau"":2,""texto"":""Depende de Ambiente com Vida""},{""grau"":2,""texto"":""Novata em Combate""}]}],""descricao"":""Dríade é uma alma ligada à natureza – pode comunicar com plantas e fazê‑las crescer ou mover‑se ao seu comando. A sua serenidade é a de uma floresta antiga, mas, quando provocada, torna‑se espinhosa e imóvel como um carvalho. A sua teimosia é a sua força e a sua fraqueza."",""iniciativa"":20}",true,,2026-07-12 18:05:40.319941+00,2026-07-12 19:52:11.358358+00,
07718ca2-6fcb-4053-8c29-d95f456ee732,,Xenônio,Xenon,x-men,medio,"{""tags"":[{""grau"":4,""texto"":""Emissão de Gases e Energias Espectrais""},{""grau"":4,""texto"":""Cria Ilusões Gasosas""},{""grau"":3,""texto"":""Brilho Luminoso Desorientador""},{""grau"":3,""texto"":""Forma Gasosa Evasiva""},{""grau"":3,""texto"":""Carisma Volátil e Cintilante""},{""grau"":2,""texto"":""Criatividade Imprevisível""},{""grau"":2,""texto"":""Surge e Some sem Aviso""},{""grau"":2,""texto"":""Aluno do Instituto Xavier""},{""grau"":3,""texto"":""Humor Volátil (brilha e apaga)""},{""grau"":3,""texto"":""Dificuldade de se Fixar Física e Mentalmente""},{""grau"":2,""texto"":""Pouca Constância em Treino""},{""grau"":2,""texto"":""Inexperiente""}],""stats"":{""aura"":7,""corpo"":4,""mente"":7,""força"":3,""vontade"":6,""destreza"":6,""espírito"":6,""influência"":5,""inteligência"":8},""temas"":[{""nome"":""Gás Nobre"",""poder"":[{""grau"":4,""texto"":""Emissão de Gases e Energias Espectrais""},{""grau"":4,""texto"":""Cria Ilusões Gasosas""},{""grau"":3,""texto"":""Brilho Luminoso Desorientador""},{""grau"":3,""texto"":""Forma Gasosa Evasiva""}],""fraqueza"":[]},{""nome"":""Inconstância Nobre"",""poder"":[{""grau"":3,""texto"":""Carisma Volátil e Cintilante""},{""grau"":2,""texto"":""Criatividade Imprevisível""}],""fraqueza"":[]},{""nome"":""Presença Efêmera"",""poder"":[{""grau"":2,""texto"":""Surge e Some sem Aviso""},{""grau"":2,""texto"":""Aluno do Instituto Xavier""}],""fraqueza"":[]},{""nome"":""Instabilidade"",""poder"":[],""fraqueza"":[{""grau"":3,""texto"":""Humor Volátil (brilha e apaga)""},{""grau"":3,""texto"":""Dificuldade de se Fixar Física e Mentalmente""},{""grau"":2,""texto"":""Pouca Constância em Treino""},{""grau"":2,""texto"":""Inexperiente""}]}],""descricao"":""Xenônio manipula gases e energias espectrais, projectando luzes e ilusões que desorientam os inimigos. A sua personalidade é tão inconstante como os gases nobres – ora extrovertido e brilhante como néon, ora recolhido e quase invisível. Difícil de prender, seja em batalha ou numa conversa, é um amigo que surge e desaparece sem aviso."",""iniciativa"":19}",true,,2026-07-12 18:05:40.319941+00,2026-07-12 19:52:11.358358+00,
08a0fc50-24ca-454b-b5d1-a495c306ef3d,,Sentinela Mark I,Unidade Autônoma de Caça,vilao,medio,"{""tags"":[{""texto"":""Detector de Mutações DNA""},{""texto"":""Foguetes e Projéteis Anti-Mutante""},{""texto"":""Armadura Estrutural Reforçada""},{""texto"":""Limitado por Programação""},{""texto"":""Supressores de Mutação""},{""texto"":""Tática e Estratégia""},{""texto"":""Treinamento de Combate""},{""texto"":""Sem Criatividade""},{""texto"":""Sem Emoção ou Adaptação""},{""texto"":""Instinto de Sobrevivência""},{""texto"":""Resiliência Física e Mental""},{""texto"":""Perícia em Campo""},{""texto"":""Fama que Atrapalha""},{""texto"":""Responsabilidade que Pesa""},{""texto"":""Conhecido no Submundo Mutante""},{""texto"":""Mutante Experiente""}],""stats"":{""corpo"":13,""mente"":3,""força"":12,""destreza"":5,""inteligência"":4},""temas"":[{""nome"":""Caçador de Mutantes"",""poder"":[{""texto"":""Detector de Mutações DNA""},{""texto"":""Foguetes e Projéteis Anti-Mutante""}],""fraqueza"":[]},{""nome"":""Máquina sem Piedada"",""poder"":[{""texto"":""Armadura Estrutural Reforçada""}],""fraqueza"":[{""texto"":""Limitado por Programação""}]},{""nome"":""3"",""poder"":[{""texto"":""Supressores de Mutação""},{""texto"":""Tática e Estratégia""},{""texto"":""Treinamento de Combate""}],""fraqueza"":[{""texto"":""Sem Criatividade""},{""texto"":""Sem Emoção ou Adaptação""}]},{""nome"":""4"",""poder"":[{""texto"":""Instinto de Sobrevivência""},{""texto"":""Resiliência Física e Mental""},{""texto"":""Perícia em Campo""}],""fraqueza"":[{""texto"":""Fama que Atrapalha""},{""texto"":""Responsabilidade que Pesa""}]}],""descricao"":""Versão melhorada com STR 12 e BOD 13. Mesmas fraquezas táticas: protocolos previsíveis. Robôs caça-mutante criados por Bolivar Trask. Perigosos em massa, vulneráveis a oponentes que entendem seus padrões.\n---"",""iniciativa"":0}",true,,2026-04-09 01:20:42.164471+00,2026-07-13 16:50:57.438563+00,https://static.wikia.nocookie.net/marveldatabase/images/0/0b/X-Men_Gold_Vol_2_6_Textless.jpg/revision/latest/scale-to-width-down/600?cb=20170321173008
